"year","min","q1","median","q2","max"
1998,20.1196432554232,93.0087579300286,109.574463649778,117.029043862604,202.34242203054
1999,67.3319267033566,98.8067612382538,112.47346530389,122.412895050824,178.322151885675
2000,110.402752102078,122.412895050824,131.52403638054,143.120027209281,180.807009313637
2001,100.049186022849,121.170470301312,131.52403638054,142.291738792064,186.605004763091
2002,90.7762840620592,105.433037211069,115.210690539219,126.392545070748,203.423062467413
2003,81.250990647421,105.271276579996,110.655127768216,118.109692193332,223.30192196128
2004,78.7661095028098,106.513701329508,111.483416220516,117.281403741032,173.190668469738
